generation_id,prompt_condition,response_record_present,transport_success,content_present,valid_n,rejected_n,complete_100,fit_status,zipf_beta,zipf_r2,road_beta,road_r2,gdp_beta,gdp_r2,population_unique_ratio,population_log10_span,road_unique_ratio,road_log10_span,gdp_unique_ratio,gdp_log10_span,road_log_residual_sd,gdp_log_residual_sd
source_matched_baseline_006,Baseline prompt,1,1,1,95,0,0,ok,-0.5468192364633306,0.7931774752054643,0.8015529633174445,0.907634950588134,1.1532801734197384,0.9819008076290984,1.0,0.9930150213375706,1.0,0.7275803882521372,0.968421052631579,0.9890046156985368,0.1453229544947336,0.0889886015887812
source_matched_blueprint_006,Blueprint prompt,1,1,1,78,0,0,ok,-1.6245389469249696,0.8650743783031519,1.035630252258546,0.9984236310436516,1.223642978229602,0.994903533369036,0.8846153846153846,2.562768543016519,0.9230769230769232,2.574031267727719,0.9487179487179488,2.934962565080848,0.0658186240618618,0.1400784695016372
source_matched_baseline_007,Baseline prompt,1,1,1,89,0,0,ok,-0.4167345084069259,0.7692970415814192,0.9003102641379719,0.9770880013843372,0.979624821996568,0.9854401470246652,1.0,0.7442678758719081,1.0,0.6697322461966704,0.9887640449438202,0.773203985537382,0.0604266321480113,0.0521908885809964
source_matched_blueprint_007,Blueprint prompt,1,1,1,98,0,0,ok,-1.914005736451612,0.9227793511982828,0.7506562384232193,0.9978696198640368,0.916693733730185,0.9947232350842358,1.0,3.2430380486862944,1.0,2.493826948222515,1.0,2.7319060624310065,0.0640707719165259,0.1233343959489091
source_matched_baseline_008,Baseline prompt,1,1,1,86,0,0,ok,-0.1803635659185818,0.887315770991366,0.7221505314589928,0.9923887236906056,0.8471317941800901,0.995790553182979,1.0,0.2797431300567945,1.0,0.2066115827829442,0.9767441860465116,0.235361671725242,0.0111501190127155,0.0097105410455116
source_matched_blueprint_008,Blueprint prompt,1,1,1,73,0,0,ok,-1.5235172912786084,0.9741202090299304,1.082988884441517,0.9910878171832904,0.9241915188990606,0.9978596760243996,1.0,2.659558141229252,1.0,2.638489256954637,0.6438356164383562,2.50740605862413,0.1446007980739495,0.0602667423453669
source_matched_baseline_009,Baseline prompt,1,1,1,90,0,0,ok,-0.5630562410870475,0.7644688711687968,0.5154453256742197,0.9601886350984352,0.5129030001245927,0.9778616450438063,0.8222222222222222,1.038180681224949,0.7333333333333333,0.5155004732327892,1.0,0.5423269722878905,0.0623874931089339,0.0458731837828679
source_matched_blueprint_009,Blueprint prompt,1,1,1,93,0,0,ok,-1.7374527386661418,0.8558882301239686,0.7848694733841927,0.9973827650999808,0.8911154640402419,0.9979305763260774,1.0,2.857332496431269,1.0,2.243038048686295,0.8279569892473119,2.500602350569185,0.0698166951581058,0.0704660535431995
source_matched_baseline_010,Baseline prompt,1,1,1,87,1,0,ok,-0.6478926602124083,0.7600849905560981,0.7744796739670908,0.9845297704456264,1.3057297013025615,0.9915429801921744,1.0,1.1998947271148823,0.9885057471264368,0.8174299251401247,1.0,1.5256997967440935,0.066472715026177,0.0825668327804057
source_matched_blueprint_010,Blueprint prompt,1,1,1,94,0,0,ok,-1.3716000797001142,0.9504056030934236,0.997983171677494,0.9993069026686796,1.0717993627471294,0.9921855993918204,0.8936170212765957,2.467679698486821,0.7978723404255319,2.470490675820649,0.9361702127659576,2.5482665451707454,0.0342099155070874,0.1238072235509052
