profile_id,prompt_condition,transport_success,parser_valid,parse_error,fit_success,fit_error,alpha_hat,c_hat,D_hat_km,inverse_s_r2,inverse_s_aicc,best_parametric_alternative,best_alternative_aicc,inverse_s_aicc_advantage,inverse_s_aicc_winner,unique_value_ratio,nonincreasing_step_fraction,local_reversal_count,normalized_second_difference
decay_setting_024,Blueprint prompt,1,1,,True,,1.9797689611836264,0.0666574900285478,57.17032880960252,0.9779684518796394,-633.3019589211649,exp_floor,-561.1937680277384,72.10819089342647,1.0,0.71,0.8686868686868687,13.0,0.0046485260770975
decay_setting_025,Baseline prompt,1,1,,True,,2.3286783672685005,0.0122899604987004,27.62835901094701,0.99797081464715,-880.9199904205792,exp_floor,-656.6387959637622,224.28119445681705,1.0,0.38,1.0,0.0,0.0019539730785931
decay_setting_025,Blueprint prompt,1,1,,True,,1.7769795603138427,7.113235394422842e-28,49.91121547088399,0.9974389623475702,-843.5850951206412,exp_floor,-621.258741617171,222.32635350347016,1.0,0.65,1.0,0.0,0.0053823727293115
decay_setting_026,Baseline prompt,1,1,,True,,1.058511977089894,0.0216698219341459,25.17397733240945,0.9788736219489542,-683.4652173124559,exp_floor,-880.5316731449551,-197.0664558324992,0.0,0.52,1.0,0.0,0.0054021608643457
decay_setting_026,Blueprint prompt,1,1,,True,,2.422319554615659,0.0154454404230896,54.19443228303175,0.992882909746874,-721.2396513488912,exp_floor,-523.015233856609,198.2244174922822,1.0,0.62,0.9393939393939394,6.0,0.0062961354754667
decay_setting_027,Baseline prompt,1,1,,True,,1.552801385384751,0.0081007625620929,22.23356109172301,0.998957904828206,-980.3498076960004,exp_floor,-717.9064278435633,262.44337985243715,1.0,0.37,1.0,0.0,0.0027939747327502
decay_setting_027,Blueprint prompt,1,1,,True,,1.809884220250244,0.0239471767745157,35.02481788237355,0.9868819877795262,-691.9400348684984,exp_floor,-692.1681899435333,-0.2281550750349197,0.0,0.52,0.9696969696969696,3.0,0.0057675244010647
decay_setting_028,Baseline prompt,1,1,,True,,1.9887008444359555,0.0067305745243536,25.92128150966842,0.9949711445474924,-799.1403089464734,exp_floor,-732.2111354377937,66.9291735086797,1.0,0.4,1.0,0.0,0.0035445757250268
decay_setting_028,Blueprint prompt,1,1,,True,,1.5898721350015517,0.045489145605984,36.60328473562869,0.9949673289548068,-799.4929438070266,exp_floor,-810.519328869651,-11.0263850626244,0.0,0.57,1.0,0.0,0.0051593671176335
decay_setting_029,Baseline prompt,1,1,,True,,1.7155961554105927,0.0039281563935264,35.849728534262674,0.9993794339734452,-1000.1334863092612,exp_floor,-621.4481727605603,378.6853135487008,1.0,0.5,1.0,0.0,0.0031584062196307
decay_setting_029,Blueprint prompt,1,1,,True,,2.01406692537087,0.0331003071647946,42.15308590614124,0.993861679840227,-756.8761115426546,exp_floor,-681.004006430482,75.87210511217256,1.0,0.58,0.98989898989899,1.0,0.0067279659116393
decay_setting_030,Baseline prompt,1,1,,True,,1.2941837435783496,0.0169552182034782,22.215159196684937,0.986699111479197,-729.5933951561543,exp_floor,-1101.4496007504763,-371.8562055943222,0.0,0.45,1.0,0.0,0.0032879818594104
decay_setting_030,Blueprint prompt,1,1,,True,,1.4972754729369109,0.0376514312778871,31.972252340986675,0.9848851402031183,-694.0065915720157,exp_floor,-955.0240490954016,-261.0174575233858,0.0,0.54,1.0,0.0,0.0052702399641175
decay_setting_031,Baseline prompt,1,1,,True,,0.9719926414466992,0.005421491263063,10.33041248617117,0.9972634452340808,-950.740532822279,exp_floor,-930.6357022497132,20.104830572565675,1.0,0.28,1.0,0.0,0.002312925170068
decay_setting_031,Blueprint prompt,1,1,,True,,1.3951656916037658,0.033792014182694,27.72072399122801,0.992260000017252,-772.7095644087318,exp_floor,-931.8766212194138,-159.16705681068197,0.0,0.49,1.0,0.0,0.0039155196962506
decay_setting_032,Baseline prompt,1,1,,True,,1.428896900801062,0.0126262519145729,23.059365740613217,0.9969509364503796,-873.1362789169332,exp_floor,-792.0540503535624,81.08222856337079,1.0,0.42,1.0,0.0,0.0024295432458697
decay_setting_032,Blueprint prompt,1,1,,True,,1.4970022957248008,0.0303588970923598,22.899551679103045,0.9881131646288,-736.7733605299946,exp_floor,-876.9375664141,-140.1642058841054,0.0,0.43,1.0,0.0,0.004808820079756
decay_setting_033,Baseline prompt,1,1,,True,,1.91247898023538,0.0144211508772389,27.07971324911804,0.9959351783681508,-821.4119056726455,exp_floor,-738.777649930921,82.63425574172447,1.0,0.41,1.0,0.0,0.0020625271385149
decay_setting_033,Blueprint prompt,1,1,,True,,1.7675284586340725,8.73939219276548e-24,55.83883434121233,0.9938110198237708,-754.1514716335079,exp_floor,-609.0861368496032,145.06533478390463,1.0,0.72,1.0,0.0,0.0028988868274582
decay_setting_034,Baseline prompt,1,1,,True,,1.0032645200080983,0.0043011131326137,22.01566276584814,0.9980826991984404,-933.7933899449496,exp_floor,-757.4040503279122,176.38933961703742,1.0,0.46,1.0,0.0,0.0034473248758963
