generation_id,prompt_condition,transport_success,valid_rows,invalid_rows,exact_100_valid_rows,fit_valid,fit_reason,adjusted_r2,cv_r2,condition_number,beta_residential_density,beta_functional_mix,beta_short_blocks,beta_aged_buildings,beta_tall_buildings,unique_ratio_residential_density,unique_ratio_functional_mix,unique_ratio_mean_block_area_m2,unique_ratio_aged_buildings,unique_ratio_tall_buildings,unique_ratio_pedestrian_activity
vitality_baseline_006,Baseline prompt,1,100,0,1,1,,0.9928400504843452,0.990770665344436,16.450876296781633,0.8482711976482382,0.0946842414905276,-0.0983109547340633,-0.1135917433934773,0.0509396028613583,0.21,0.16,0.23,0.15,0.2,0.28
vitality_blueprint_006,Blueprint prompt,1,100,0,1,1,,0.9577276677753982,0.9486329884274208,21.235213549902195,0.9319320902180774,-0.0651513909892629,0.099456018213592,-0.1485864010481749,-0.1418075497006217,0.27,0.2,0.35,0.22,0.28,0.44
vitality_baseline_007,Baseline prompt,1,100,0,1,1,,0.9689575971492608,0.9615382523092028,24.1315406891627,0.5191538493050958,-0.0051770516940267,0.2195566846016777,0.1756445942775268,0.0864257198993184,0.78,0.67,0.76,0.67,0.23,0.67
vitality_blueprint_007,Blueprint prompt,1,100,0,1,1,,0.9776558016433766,0.9753754546643782,12.286127038309932,0.8284350282943511,-0.0644667318044214,0.0739071861400229,-0.1374817028063057,0.0175389151222165,0.34,0.25,0.25,0.17,0.38,0.72
vitality_baseline_008,Baseline prompt,1,100,0,1,1,,0.9778972855259344,0.9750070143388956,17.07883314683583,0.6667499151103471,0.1604366789944188,-0.1378647408644011,0.4459433181856708,-0.1462813164733852,0.16,0.08,0.62,0.07,0.06,0.3
vitality_blueprint_008,Blueprint prompt,1,100,0,1,1,,0.9826515144506436,0.9807158441918598,15.8001180748122,0.7187727390562539,0.0730816303096847,0.0662437390937338,-0.004463194399175,0.1485236989510706,0.37,0.26,0.59,0.08,0.18,0.6
vitality_baseline_009,Baseline prompt,1,100,0,1,1,,0.9767612407437192,0.974490324201198,17.677830962235706,0.5252315653895392,0.3397366219589033,0.0603375946033233,0.1980230570356731,-0.1129795747814455,0.31,0.23,0.58,0.16,0.26,0.44
vitality_blueprint_009,Blueprint prompt,1,100,0,1,1,,0.9853852977779308,0.9828867388534758,13.309620441475978,0.5241976692476766,0.0032529614228772,0.2759443193283793,0.1311458383917408,0.0779718281746229,0.42,0.28,0.46,0.32,0.24,0.72
vitality_baseline_010,Baseline prompt,1,100,0,1,1,,0.9899234373784498,0.988503389360464,20.694122939935426,0.4815188194195557,0.0659300844324211,0.2615756713570966,0.1520167874393362,0.0488905082161131,0.46,0.29,0.41,0.09,0.08,0.49
vitality_blueprint_010,Blueprint prompt,1,100,0,1,1,,0.964540060012704,0.9534879169186494,16.566547708388775,0.629061509689886,-0.0148990311465051,0.4939480029987477,0.062201677253355,-0.0716130605779553,0.44,0.24,0.56,0.6,0.37,0.58
vitality_baseline_011,Baseline prompt,1,100,0,1,1,,0.9840335173808352,0.9805761764352228,15.41347796872508,0.5383058382459299,0.1655692444911713,0.0109938857081238,0.085614354135006,0.2168512894300046,0.32,0.14,0.29,0.08,0.16,0.41
vitality_blueprint_011,Blueprint prompt,1,100,0,1,1,,0.9663938361732546,0.9637094536286614,16.351642110131596,0.9085613290331832,0.2332214333245586,-0.3960240324552279,-0.0807401605167677,0.1582256722792104,0.4,0.25,0.41,0.15,0.43,0.43
vitality_baseline_012,Baseline prompt,1,100,0,1,1,,0.9872167733539314,0.9840013422760052,19.62404379783464,0.4157547792562042,0.1678337971604113,0.080927697348865,0.0746954572976721,0.2757111917642066,0.31,0.35,0.56,0.25,0.16,0.72
vitality_blueprint_012,Blueprint prompt,1,100,0,1,1,,0.9722554530365528,0.9698948201734644,15.356950465103122,0.9478271794119912,0.0312478773424988,0.1249111499689701,0.0393026687152065,-0.1083973585749184,0.37,0.26,0.66,0.11,0.46,0.66
vitality_baseline_013,Baseline prompt,1,100,0,1,1,,0.9769791143962232,0.9760685118359612,28.71396239947787,0.4160061465090048,0.4375202856122978,0.1278578108241685,-0.4972372558960255,-0.4984380167874732,0.39,0.3,0.45,0.09,0.25,0.5
vitality_blueprint_013,Blueprint prompt,1,100,0,1,1,,0.9873298463416096,0.9867834467462137,12.087340841125418,0.4358796717207911,-0.0125680503256185,0.2214643324634509,0.2418949997692324,0.1350385856433705,0.39,0.25,0.63,0.16,0.24,0.57
vitality_baseline_014,Baseline prompt,1,100,0,1,1,,0.9790867350136724,0.9764303259271168,22.386271027498168,0.4113720806998421,0.1255266446108756,0.7738586209625711,-0.0513306780521883,-0.2798490806280068,0.4,0.26,0.35,0.48,0.34,0.54
vitality_blueprint_014,Blueprint prompt,1,100,0,1,1,,0.9897867895667036,0.9890997796980708,15.646608787194635,0.6683321311899738,0.0807588163533162,0.0748370780421934,-0.0661931495704244,0.1192677430934133,0.36,0.27,0.77,0.16,0.35,0.69
vitality_baseline_015,Baseline prompt,1,100,0,1,1,,0.986923058696736,0.9852903423681406,28.069403920292697,0.6525863207889067,0.4127262213749375,0.016011213442835,0.0896789913874206,-0.1797366206644054,0.33,0.63,0.65,0.41,0.41,0.56
vitality_blueprint_015,Blueprint prompt,1,100,0,1,1,,0.990087639372536,0.9895169254289584,14.040074579955228,0.7263263065514963,0.1764889745783897,0.1339539333255713,0.0678490273982363,0.0426832788173628,0.38,0.24,0.35,0.5,0.44,0.45
vitality_baseline_016,Baseline prompt,1,100,0,1,1,,0.9587226837971052,0.9559940927067364,22.27204535640611,0.4622110700744741,0.5477126351307491,0.3370503610787337,0.1646260899230526,-0.2049153496949496,0.42,0.51,0.59,0.16,0.37,0.7
vitality_blueprint_016,Blueprint prompt,1,100,0,1,1,,0.9758393197509728,0.9732963239947832,24.650940139423263,1.4554500501931085,-0.0485725824643051,-0.6539916681365792,-0.170354270619557,0.0525107967417615,0.36,0.27,0.41,0.35,0.31,0.43
vitality_baseline_017,Baseline prompt,1,100,0,1,1,,0.9841883387556172,0.9824251756323804,27.53405877749704,0.4305281705533486,0.30364683963712,0.1844979634372892,-0.1648357391722601,-0.0836117414500738,0.54,0.63,0.8,0.63,0.52,0.68
vitality_blueprint_017,Blueprint prompt,1,100,0,1,1,,0.9807275870265216,0.9793709076448626,16.307601628633794,0.5539139563245885,0.006623250578911,0.2586170133287308,-0.0842865877656555,0.1083261895780162,0.45,0.22,0.7,0.58,0.34,0.79
vitality_baseline_018,Baseline prompt,1,100,0,1,1,,0.9874516824634422,0.9855078780706894,23.113939850814702,0.5948203590624697,0.193711099805575,-0.179449049743243,-0.2212857181075879,0.1748572850983817,0.36,0.48,0.32,0.42,0.34,0.49
vitality_blueprint_018,Blueprint prompt,1,100,0,1,1,,0.9794497154602064,0.9759712225725968,14.20532337708941,0.6258253819977446,0.0267349526823884,0.1194882857238611,0.2506669590130796,-0.0190534527267462,0.35,0.25,0.36,0.29,0.23,0.39
