scene_id,theme,dimension,reference_effect,clean_signed_theme_score,target_signed_theme_score,random_signed_theme_score,target_change,random_change,target_intervention_norm,random_intervention_norm,norm_absolute_difference,norm_tolerance,equal_norm_check_passed
scene_005,traffic_elements,Depressing,0.08333333333333333,3.765625,3.984375,3.4375,-0.21875,0.328125,3254.69482421875,3254.691650390625,0.003173828125,0.325469482421875,True
scene_005,traffic_elements,Lively,1.4583333333333333,8.8125,8.6875,7.578125,0.125,1.234375,3307.407470703125,3307.414794921875,0.00732421875,0.33074074707031254,True
scene_005,traffic_elements,Safe,-0.4083333333333334,-3.75,-4.40625,-3.640625,0.65625,-0.109375,3254.69482421875,3254.705322265625,0.010498046875,0.325469482421875,True
scene_005,traffic_elements,Wealthy,0.2416666666666667,0.5,0.296875,-1.546875,0.203125,2.046875,3307.407470703125,3307.410888671875,0.00341796875,0.33074074707031254,True
scene_005,traffic_elements,Boring,-0.375,-1.09375,-1.5625,-0.734375,0.46875,-0.359375,3254.69482421875,3254.73193359375,0.037109375,0.325469482421875,True
scene_005,built_elements,Beautiful,0.48333333333333334,-1.765625,-1.96875,-1.46875,0.203125,-0.296875,3339.200927734375,3339.2119140625,0.010986328125,0.33392009277343754,True
scene_005,built_elements,Depressing,-1.0666666666666667,-3.046875,-3.234375,-3.59375,0.1875,0.546875,3343.753662109375,3343.774169921875,0.0205078125,0.3343753662109375,True
scene_005,built_elements,Lively,0.15,2.65625,2.953125,2.28125,-0.296875,0.375,3339.200927734375,3339.199951171875,0.0009765625,0.33392009277343754,True
scene_005,built_elements,Safe,0.3416666666666666,1.46875,0.953125,0.734375,0.515625,0.734375,3343.753662109375,3343.78466796875,0.031005859375,0.3343753662109375,True
scene_005,built_elements,Wealthy,0.975,-1.0,-1.171875,-0.71875,0.171875,-0.28125,3339.200927734375,3339.221435546875,0.0205078125,0.33392009277343754,True
scene_005,built_elements,Boring,0.05833333333333335,-2.46875,-2.390625,-1.859375,-0.078125,-0.609375,3343.753662109375,3343.78076171875,0.027099609375,0.3343753662109375,True
scene_006,natural_elements,Beautiful,2.2333333333333334,9.25,8.53125,5.328125,0.71875,3.921875,3723.53369140625,3723.521728515625,0.011962890625,0.372353369140625,True
scene_006,natural_elements,Depressing,-2.775,-2.484375,-3.0,-3.34375,0.515625,0.859375,3704.98095703125,3704.993408203125,0.012451171875,0.37049809570312503,True
scene_006,natural_elements,Lively,1.1916666666666667,7.953125,6.046875,4.59375,1.90625,3.359375,3723.53369140625,3723.484375,0.04931640625,0.372353369140625,True
scene_006,natural_elements,Safe,1.0916666666666666,2.359375,2.078125,2.0625,0.28125,0.296875,3704.98095703125,3704.978515625,0.00244140625,0.37049809570312503,True
scene_006,natural_elements,Wealthy,1.3499999999999999,5.375,4.421875,4.125,0.953125,1.25,3723.53369140625,3723.548828125,0.01513671875,0.372353369140625,True
scene_006,natural_elements,Boring,-1.1916666666666667,-1.34375,-1.9375,-1.03125,0.59375,-0.3125,3704.98095703125,3705.01416015625,0.033203125,0.37049809570312503,True
scene_006,traffic_elements,Beautiful,-0.7666666666666666,-1.390625,-2.0,-1.8125,0.609375,0.421875,3245.2763671875,3245.2568359375,0.01953125,0.32452763671875,True
scene_006,traffic_elements,Depressing,0.08333333333333333,-3.5625,-3.359375,-3.109375,-0.203125,-0.453125,3296.307373046875,3296.289306640625,0.01806640625,0.3296307373046875,True
scene_006,traffic_elements,Lively,1.4583333333333333,4.796875,5.203125,4.421875,-0.40625,0.375,3245.2763671875,3245.269775390625,0.006591796875,0.32452763671875,True
scene_006,traffic_elements,Safe,-0.4083333333333334,-4.71875,-4.59375,-3.5,-0.125,-1.21875,3296.307373046875,3296.27880859375,0.028564453125,0.3296307373046875,True
scene_006,traffic_elements,Wealthy,0.2416666666666667,-0.890625,-1.375,-1.078125,0.484375,0.1875,3245.2763671875,3245.307373046875,0.031005859375,0.32452763671875,True
scene_006,traffic_elements,Boring,-0.375,-4.546875,-4.015625,-4.9375,-0.53125,0.390625,3296.307373046875,3296.297119140625,0.01025390625,0.3296307373046875,True
scene_006,built_elements,Beautiful,0.48333333333333334,2.84375,1.8125,1.890625,1.03125,0.953125,3252.92626953125,3252.916259765625,0.010009765625,0.325292626953125,True
scene_006,built_elements,Depressing,-1.0666666666666667,1.984375,1.890625,2.0625,0.09375,-0.078125,3259.932861328125,3259.917724609375,0.01513671875,0.32599328613281253,True
scene_006,built_elements,Lively,0.15,2.03125,1.03125,0.375,1.0,1.65625,3252.92626953125,3252.8984375,0.02783203125,0.325292626953125,True
