generation_id,prompt_condition,transport_success,valid_n,rejected_n,complete_100,fit_status,population_unique_ratio,population_log_range,road_unique_ratio,road_log_range,gdp_unique_ratio,gdp_log_range
distribution_blueprint_075,Blueprint prompt,1,92,0,0,ok,1.0,2.6020599913279625,0.9130434782608696,2.029963223377443,0.967391304347826,2.0
distribution_baseline_076,Baseline prompt,1,100,0,1,ok,0.63,0.6989700043360187,0.55,0.7132104434506292,0.53,0.9420080530223132
distribution_blueprint_076,Blueprint prompt,0,0,0,0,insufficient_rows,,,,,,
distribution_baseline_077,Baseline prompt,1,100,0,1,ok,1.0,1.74579521389031,1.0,1.4067139329795424,1.0,1.3010299956639813
distribution_blueprint_077,Blueprint prompt,1,100,0,1,ok,1.0,2.638272163982407,1.0,2.2552725051033065,1.0,2.347773399206308
distribution_baseline_078,Baseline prompt,1,100,0,1,ok,0.7,0.3806810032305314,0.69,0.2155998003393544,0.57,0.4323089103033002
distribution_blueprint_078,Blueprint prompt,1,98,0,0,ok,1.0,2.6020599913279625,1.0,1.958607314841775,1.0,1.7746907182741372
distribution_baseline_079,Baseline prompt,1,100,0,1,ok,0.8,1.5415792439465807,0.7,1.2600713879850751,0.79,1.7659167939666318
distribution_blueprint_079,Blueprint prompt,1,92,0,0,ok,1.0,2.585026652029182,1.0,1.9884181274501849,1.0,1.9208187539523751
distribution_baseline_080,Baseline prompt,1,100,0,1,ok,0.97,1.0459884368473746,0.33,0.6989700043360187,0.85,0.9447772089413178
distribution_blueprint_080,Blueprint prompt,0,0,0,0,insufficient_rows,,,,,,
distribution_baseline_081,Baseline prompt,1,100,0,1,ok,0.6,1.0347621062592118,0.6,0.8483511974119786,0.73,1.1613680022349744
distribution_blueprint_081,Blueprint prompt,1,100,0,1,ok,1.0,2.667561540084395,1.0,1.7928745072043504,1.0,2.3372421683184257
distribution_baseline_082,Baseline prompt,1,96,4,0,ok,0.9791666666666666,0.8364622710096796,0.3854166666666667,0.3752760240360939,0.9166666666666666,0.8316802191541779
distribution_blueprint_082,Blueprint prompt,1,100,0,1,ok,1.0,2.8239087409443187,1.0,1.903089986991944,1.0,2.505845405981557
distribution_baseline_083,Baseline prompt,1,100,0,1,ok,0.99,0.5962631924711559,0.94,0.8063922351406116,0.94,0.9077453201595348
distribution_blueprint_083,Blueprint prompt,1,102,0,0,ok,1.0,2.6020599913279625,1.0,1.7695510786217263,0.9901960784313726,1.9829666607012195
distribution_baseline_084,Baseline prompt,1,100,0,1,ok,0.59,1.1760912590556811,0.7,1.0543576623225928,0.76,1.3521825181113627
distribution_blueprint_084,Blueprint prompt,1,100,0,1,ok,1.0,2.6020599913279625,1.0,1.7569619513137056,1.0,2.4948500216800937
distribution_baseline_085,Baseline prompt,1,100,0,1,ok,0.91,1.09429639740537,0.58,0.629498239674902,0.92,1.0259357340943998
distribution_blueprint_085,Blueprint prompt,1,100,0,1,ok,1.0,2.6777807052660805,1.0,1.488116639021126,1.0,2.434923574925208
distribution_baseline_086,Baseline prompt,1,100,0,1,ok,1.0,0.9797693918947664,0.94,0.4933584535903477,1.0,0.8142435637996801
distribution_blueprint_086,Blueprint prompt,1,99,0,0,ok,1.0,2.6020599913279625,1.0,1.8473898367938413,1.0,1.72584215073632
distribution_baseline_087,Baseline prompt,1,100,0,1,ok,0.99,0.9594317382875852,0.46,0.7958800173440754,0.95,0.8800092602601364
distribution_blueprint_087,Blueprint prompt,1,89,0,0,ok,1.0,2.6020599913279625,0.9887640449438202,1.9542425094393248,0.9887640449438202,1.9208187539523751
distribution_baseline_088,Baseline prompt,1,100,0,1,ok,0.68,0.7686059324774135,0.65,0.8538719643217618,0.7,1.0511525224473814
distribution_blueprint_088,Blueprint prompt,1,100,0,1,ok,1.0,2.7569619513137056,1.0,1.744727494896694,1.0,2.4436974992327127
distribution_baseline_089,Baseline prompt,1,100,0,1,ok,0.58,0.5326385825694935,0.55,0.4948500216800942,0.45,0.6989700043360187
distribution_blueprint_089,Blueprint prompt,1,100,0,1,ok,0.85,2.3010299956639813,0.86,1.6215577810272404,0.76,1.9208187539523751
distribution_baseline_090,Baseline prompt,1,100,0,1,ok,0.88,0.8239087409443187,0.63,0.8524799936368566,0.8,0.9441421825349998
distribution_blueprint_090,Blueprint prompt,1,100,0,1,ok,1.0,2.6478174818886373,1.0,2.221848749616356,1.0,2.1338935792612266
distribution_baseline_091,Baseline prompt,1,100,0,1,ok,1.0,0.8512610242266385,0.37,0.5850266520291818,0.94,0.8000378550484522
distribution_blueprint_091,Blueprint prompt,1,100,0,1,ok,1.0,2.638272163982407,1.0,1.6989700043360192,1.0,2.7781512503836434
distribution_baseline_092,Baseline prompt,1,100,0,1,ok,0.72,0.9031137326996131,0.29,0.9577697936565556,1.0,0.857937945473747
distribution_blueprint_092,Blueprint prompt,0,0,0,0,insufficient_rows,,,,,,
distribution_baseline_093,Baseline prompt,1,100,0,1,ok,0.49,0.795880017344075,0.56,0.6020599913279625,0.73,0.6989700043360187
distribution_blueprint_093,Blueprint prompt,1,100,0,1,ok,0.93,2.439332693830263,0.79,1.8386319977650247,0.69,2.397940008672037
distribution_baseline_094,Baseline prompt,1,100,0,1,ok,1.0,0.545474791554339,0.95,0.5458270361509894,1.0,0.5875073850443382
distribution_blueprint_094,Blueprint prompt,0,0,0,0,insufficient_rows,,,,,,
distribution_baseline_095,Baseline prompt,1,100,0,1,ok,0.95,0.6218788460271263,0.77,0.6197887582883941,0.56,0.6478174818886373
distribution_blueprint_095,Blueprint prompt,1,100,0,1,ok,0.87,2.6020599913279625,0.86,1.903089986991944,0.83,2.5917600346881504
distribution_baseline_096,Baseline prompt,1,100,0,1,ok,0.95,0.91204482964487,0.44,0.9107768156582344,0.93,1.0193051551953864
distribution_blueprint_096,Blueprint prompt,1,100,0,1,ok,1.0,2.6197887582883936,1.0,2.1326255652745907,1.0,2.920818753952375
distribution_baseline_097,Baseline prompt,1,100,0,1,ok,0.29,0.5314789170422554,0.3,0.4082399653118496,0.81,0.5968587976421542
distribution_blueprint_097,Blueprint prompt,0,0,0,0,insufficient_rows,,,,,,
distribution_baseline_098,Baseline prompt,1,100,0,1,ok,0.84,0.7316938491446416,0.67,0.7917240575729179,0.89,0.8560607693676321
distribution_blueprint_098,Blueprint prompt,1,87,0,0,ok,1.0,2.6020599913279625,1.0,2.093904502868332,0.9885057471264368,2.1191864077192086
distribution_baseline_099,Baseline prompt,1,100,0,1,ok,0.83,1.5808706922580242,0.63,0.8908555305749322,0.96,1.2662678894047694
distribution_blueprint_099,Blueprint prompt,0,0,0,0,insufficient_rows,,,,,,
distribution_baseline_100,Baseline prompt,1,100,0,1,ok,0.91,0.995209191788062,1.0,1.5119414566892018,1.0,1.1398879637083468
distribution_blueprint_100,Blueprint prompt,1,97,0,0,ok,1.0,2.6020599913279625,1.0,2.0,1.0,2.356547323513813
